,document_ref,company_name,filing_date,date_str,filing_type
0,0001193125-13-216952,MICROSOFT,20130513,2013-05-13,8-K
1,0001193125-17-232047,MICROSOFT,20170720,2017-07-20,8-K
2,0001193125-15-247530,MICROSOFT,20150708,2015-07-08,8-K
3,0001193125-16-619689,MICROSOFT,20160613,2016-06-13,8-K
4,0001193125-12-292236,MICROSOFT,20120702,2012-07-02,8-K
5,0001193125-11-026916,MICROSOFT,20110208,2011-02-08,8-K
6,0001193125-15-045564,MICROSOFT,20150212,2015-02-12,8-K
7,0001193125-12-448011,MICROSOFT,20121102,2012-11-02,8-K
8,0001193125-11-350423,MICROSOFT,20111222,2011-12-22,8-K
9,0001193125-19-022553,MICROSOFT,20190130,2019-01-30,8-K
10,0001193125-12-427207,MICROSOFT,20121018,2012-10-18,8-K
11,0001193125-15-395460,MICROSOFT,20151204,2015-12-04,8-K
12,0001193125-17-247395,MICROSOFT,20170803,2017-08-03,8-K
13,0001193125-12-208858,MICROSOFT,20120503,2012-05-03,8-K
14,0001193125-13-282853,MICROSOFT,20130703,2013-07-03,8-K
15,0001193125-18-337951,MICROSOFT,20181129,2018-11-29,8-K
16,0001193125-18-221458,MICROSOFT,20180719,2018-07-19,8-K
17,0001193125-15-258359,MICROSOFT,20150721,2015-07-21,8-K
18,0001193125-17-321202,MICROSOFT,20171026,2017-10-26,8-K
19,0001193125-13-372141,MICROSOFT,20130920,2013-09-20,8-K
20,0001193125-15-144132,MICROSOFT,20150423,2015-04-23,8-K
21,0001193125-14-094551,MICROSOFT,20140312,2014-03-12,8-K
22,0001193125-14-275529,MICROSOFT,20140722,2014-07-22,8-K
23,0001193125-16-508738,MICROSOFT,20160317,2016-03-17,8-K
24,0001193125-13-379566,MICROSOFT,20130926,2013-09-26,8-K
25,0001193125-15-350712,MICROSOFT,20151022,2015-10-22,8-K
26,0001193125-11-276018,MICROSOFT,20111020,2011-10-20,8-K
27,0001193125-17-019726,MICROSOFT,20170126,2017-01-26,8-K
28,0001193125-16-643151,MICROSOFT,20160707,2016-07-07,8-K
29,0001193125-12-456267,MICROSOFT,20121107,2012-11-07,8-K
30,0001193125-13-022190,MICROSOFT,20130124,2013-01-24,8-K
31,0001193125-13-354733,MICROSOFT,20130903,2013-09-03,8-K
32,0001193125-13-294305,MICROSOFT,20130718,2013-07-18,8-K
33,0001193125-11-015944,MICROSOFT,20110127,2011-01-27,8-K
34,0001193125-17-142963,MICROSOFT,20170427,2017-04-27,8-K
35,0001193125-16-782569,MICROSOFT,20161201,2016-12-01,8-K
36,0001193125-12-418686,MICROSOFT,20121009,2012-10-09,8-K
37,0001193125-14-108251,MICROSOFT,20140320,2014-03-20,8-K
38,0001193125-16-550250,MICROSOFT,20160421,2016-04-21,8-K
39,0001193125-16-601931,MICROSOFT,20160525,2016-05-25,8-K
40,0001193125-13-160968,MICROSOFT,20130418,2013-04-18,8-K
41,0001193125-13-448625,MICROSOFT,20131120,2013-11-20,8-K
42,0001193125-15-318450,MICROSOFT,20150911,2015-09-11,8-K
43,0001193125-10-265243,MICROSOFT,20101119,2010-11-19,8-K
44,0001193125-11-115162,MICROSOFT,20110428,2011-04-28,8-K
45,0001193125-12-170657,MICROSOFT,20120419,2012-04-19,8-K
46,0001193125-13-226771,MICROSOFT,20130520,2013-05-20,8-K
47,0001193125-15-363226,MICROSOFT,20151103,2015-11-03,8-K
48,0001193125-16-641678,MICROSOFT,20160705,2016-07-05,8-K
49,0001193125-14-343628,MICROSOFT,20140917,2014-09-17,8-K
50,0001193125-11-315709,MICROSOFT,20111117,2011-11-17,8-K
51,0001193125-15-020342,MICROSOFT,20150126,2015-01-26,8-K
52,0001193125-14-433614,MICROSOFT,20141204,2014-12-04,8-K
53,0001193125-16-742793,MICROSOFT,20161020,2016-10-20,8-K
54,0001193125-17-030734,MICROSOFT,20170203,2017-02-03,8-K
55,0001193125-13-464138,MICROSOFT,20131206,2013-12-06,8-K
56,0001193125-12-273856,MICROSOFT,20120618,2012-06-18,8-K
57,0001193125-18-027377,MICROSOFT,20180131,2018-01-31,8-K
58,0001193125-15-353706,MICROSOFT,20151027,2015-10-27,8-K
59,0001193125-18-134732,MICROSOFT,20180426,2018-04-26,8-K
60,0001193125-14-314623,MICROSOFT,20140819,2014-08-19,8-K
61,0001193125-13-192843,MICROSOFT,20130501,2013-05-01,8-K
62,0001193125-14-271285,MICROSOFT,20140717,2014-07-17,8-K
63,0001193125-11-134416,MICROSOFT,20110510,2011-05-10,8-K
64,0001193125-12-474208,MICROSOFT,20121116,2012-11-16,8-K
65,0001193125-14-035080,MICROSOFT,20140204,2014-02-04,8-K
66,0001193125-12-485805,MICROSOFT,20121129,2012-11-29,8-K
67,0001193125-15-331408,MICROSOFT,20150929,2015-09-29,8-K
68,0001193125-16-441813,MICROSOFT,20160128,2016-01-28,8-K
69,0001193125-12-307447,MICROSOFT,20120719,2012-07-19,8-K
70,0001193125-12-017015,MICROSOFT,20120119,2012-01-19,8-K
71,0001193125-13-374821,MICROSOFT,20130923,2013-09-23,8-K
72,0001193125-12-395523,MICROSOFT,20120918,2012-09-18,8-K
73,0001193125-13-380142,MICROSOFT,20130926,2013-09-26,8-K
74,0001193125-17-203579,MICROSOFT,20170614,2017-06-14,8-K
75,0001193125-16-673577,MICROSOFT,20160805,2016-08-05,8-K
76,0001193125-17-082168,MICROSOFT,20170314,2017-03-14,8-K
77,0001193125-16-716834,MICROSOFT,20160922,2016-09-22,8-K
78,0001193125-15-394364,MICROSOFT,20151203,2015-12-03,8-K
79,0001193125-13-409837,MICROSOFT,20131024,2013-10-24,8-K
80,0001193125-17-288464,MICROSOFT,20170919,2017-09-19,8-K
81,0001193125-16-651176,MICROSOFT,20160719,2016-07-19,8-K
82,0001193125-15-282470,MICROSOFT,20150807,2015-08-07,8-K
83,0001193125-13-354149,MICROSOFT,20130830,2013-08-30,8-K
84,0001193125-17-357415,MICROSOFT,20171130,2017-11-30,8-K
85,0001193125-13-455144,MICROSOFT,20131126,2013-11-26,8-K
86,0001193125-11-193631,MICROSOFT,20110721,2011-07-21,8-K
87,0001193125-16-788575,MICROSOFT,20161208,2016-12-08,8-K
88,0001193125-12-070173,MICROSOFT,20120221,2012-02-21,8-K
89,0001193125-18-182975,MICROSOFT,20180604,2018-06-04,8-K
90,0001193125-13-288230,MICROSOFT,20130711,2013-07-11,8-K
91,0001193125-13-160734,MICROSOFT,20130418,2013-04-18,8-K
92,0001193125-18-277602,MICROSOFT,20180919,2018-09-19,8-K
93,0001193125-14-288136,MICROSOFT,20140731,2014-07-31,8-K
94,0001193125-14-157077,MICROSOFT,20140424,2014-04-24,8-K
95,0001193125-19-117108,MICROSOFT,20190424,2019-04-24,8-K
96,0001193125-18-306365,MICROSOFT,20181024,2018-10-24,8-K
97,0001193125-14-018629,MICROSOFT,20140123,2014-01-23,8-K
98,0001193125-13-345446,MICROSOFT,20130823,2013-08-23,8-K
99,0001193125-14-380219,MICROSOFT,20141023,2014-10-23,8-K
